run,feature,tp,fp,fn,f1
pilot_barrier_8192,v1,0,0,0,0.0
pilot_barrier_8192,v5,2,0,0,1.0
pilot_barrier_8192,v9,1,1,1,0.5
pilot_barrier_8192,v14,1,1,2,0.4
pilot_barrier_8192,v22,1,1,0,0.6666666666666666
pilot_barrier_8192,v24,0,0,1,0.0
pilot_continuous_2048,v1,0,0,0,0.0
pilot_continuous_2048,v5,1,0,1,0.6666666666666666
pilot_continuous_2048,v9,1,1,1,0.5
pilot_continuous_2048,v14,0,2,3,0.0
pilot_continuous_2048,v22,1,0,0,1.0
pilot_continuous_2048,v24,0,1,1,0.0
pilot_continuous_8192,v1,0,1,0,0.0
pilot_continuous_8192,v5,1,1,1,0.5
pilot_continuous_8192,v9,1,1,1,0.5
pilot_continuous_8192,v14,0,3,3,0.0
pilot_continuous_8192,v22,1,0,0,1.0
pilot_continuous_8192,v24,1,1,0,0.6666666666666666
pilot_continuous_16384,v1,0,0,0,0.0
pilot_continuous_16384,v5,2,0,0,1.0
pilot_continuous_16384,v9,1,1,1,0.5
pilot_continuous_16384,v14,0,0,3,0.0
pilot_continuous_16384,v22,1,0,0,1.0
pilot_continuous_16384,v24,1,0,0,1.0
six_continuous_8192,v1,2,1,5,0.4
six_continuous_8192,v5,4,2,3,0.6153846153846154
six_continuous_8192,v9,3,9,3,0.3333333333333333
six_continuous_8192,v14,2,2,6,0.3333333333333333
six_continuous_8192,v22,4,3,1,0.6666666666666666
six_continuous_8192,v24,0,3,8,0.0
mixed_continuous_8192,v1,4,3,3,0.5714285714285714
mixed_continuous_8192,v2,5,3,2,0.6666666666666666
mixed_continuous_8192,v3,6,0,2,0.8571428571428571
mixed_continuous_8192,v4,3,4,3,0.46153846153846156
mixed_continuous_8192,v5,3,1,4,0.5454545454545454
mixed_continuous_8192,v6,2,14,4,0.18181818181818182
mixed_continuous_8192,v7,1,1,6,0.2222222222222222
mixed_continuous_8192,v8,6,45,0,0.21052631578947367
mixed_continuous_8192,v9,2,7,4,0.26666666666666666
mixed_continuous_8192,v10,2,18,5,0.14814814814814814
mixed_continuous_8192,v11,0,10,6,0.0
mixed_continuous_8192,v12,1,0,5,0.2857142857142857
mixed_continuous_8192,v13,0,3,6,0.0
mixed_continuous_8192,v14,3,3,5,0.42857142857142855
mixed_continuous_8192,v15,0,0,6,0.0
mixed_continuous_8192,v16,0,8,6,0.0
mixed_continuous_8192,v17,0,0,6,0.0
mixed_continuous_8192,v18,0,5,7,0.0
mixed_continuous_8192,v19,2,1,4,0.4444444444444444
mixed_continuous_8192,v20,0,1,5,0.0
mixed_continuous_8192,v21,0,1,6,0.0
mixed_continuous_8192,v22,4,4,1,0.6153846153846154
mixed_continuous_8192,v23,3,7,2,0.4
mixed_continuous_8192,v24,0,6,8,0.0
